HAddress,HAttractions,HGFW,HImages,HLanguage,HMail,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HTel,HVideos,URL
"56 Nguyen Chi Thanh Muong Thanh Ward, Dien Bien Phu Vietnam",3,46,NA,,,Thanh Binh Guest House,Dien Bien Phu,Vietnam,"Vietnam,Dien Bien Province,Dien Bien Phu","Which popular attractions are close to Thanh Binh Guest House?, ,What are some restaurants close to Thanh Binh Guest House?, ",NA,NA,NA,NA,NA,12,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g662329-d11697285-Reviews-Thanh_Binh_Guest_House-Dien_Bien_Phu_Dien_Bien_Province.html
"Duong So 6, Khu Phao Dai, Ha Tien Vietnam",6,40,NA,"English, Vietnamese",,Ocean Street Bungalow,Ha Tien,Vietnam,"Vietnam,Kien Giang Province,Ha Tien","Which popular attractions are close to Ocean Street Bungalow?, ,What are some of the property amenities at Ocean Street Bungalow?, ,Which room amenities are available at Ocean Street Bungalow?, ,What food & drink options are available at Ocean Street Bungalow?, ,What are some restaurants close to Ocean Street Bungalow?, ,Are there opportunities to exercise at Ocean Street Bungalow?, ,Is Ocean Street Bungalow located near the city center?, ,Does Ocean Street Bungalow offer any business services?, ,Which languages are spoken by the staff at Ocean Street Bungalow?, ",NA,NA,NA,NA,NA,7,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g635529-d13283120-Reviews-Ocean_Street_Bungalow-Ha_Tien_Kien_Giang_Province.html
"08, Group 4, Thanh Binh Ward, Dien Bien Phu Vietnam",2,43,NA,,,Nhu Ngoc Hotel,Dien Bien Phu,Vietnam,"Vietnam,Dien Bien Province,Dien Bien Phu","Which popular attractions are close to Nhu Ngoc Hotel?, ,What are some restaurants close to Nhu Ngoc Hotel?, ",NA,NA,NA,NA,NA,12,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g662329-d11714962-Reviews-Nhu_Ngoc_Hotel-Dien_Bien_Phu_Dien_Bien_Province.html
"80 Bui Vien Street, District 1, Ho Chi Minh City 70000 Vietnam",81,98,36,,,Vintage Hostel,$49,$11,"$11, - ,$49","Which popular attractions are close to Vintage Hostel?, ,What are some of the property amenities at Vintage Hostel?, ,What food & drink options are available at Vintage Hostel?, ,What are some restaurants close to Vintage Hostel?, ,Does Vintage Hostel have airport transportation?, ,Are there any historical sites close to Vintage Hostel?, ",23,127,"#75 of 1,891 Specialty lodging in Ho Chi Minh City",40,10,484,Very good,10,"Centrally Located,Budget",,9,https://www.tripadvisor.com/Hotel_Review-g293925-d8139381-Reviews-Vintage_Hostel-Ho_Chi_Minh_City.html
"170 Mac Thien Tich, Ha Tien Vietnam",6,40,NA,Vietnamese,,Tu Anh Hotel,Ha Tien,Vietnam,"Vietnam,Kien Giang Province,Ha Tien","Which popular attractions are close to Tu Anh Hotel?, ,What are some of the property amenities at Tu Anh Hotel?, ,Which room amenities are available at Tu Anh Hotel?, ,What food & drink options are available at Tu Anh Hotel?, ,What are some restaurants close to Tu Anh Hotel?, ,Is Tu Anh Hotel located near the city center?, ",NA,NA,NA,NA,NA,7,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g635529-d12266664-Reviews-Tu_Anh_Hotel-Ha_Tien_Kien_Giang_Province.html
"2 Thanh Vien Hai Loc, Ha Tien Vietnam",NA,NA,NA,,,Hai Dang Hotel,Ha Tien,Vietnam,"Vietnam,Kien Giang Province,Ha Tien","Which popular attractions are close to Hai Dang Hotel?, ,What are some of the property amenities at Hai Dang Hotel?, ,What food & drink options are available at Hai Dang Hotel?, ",NA,2,#8 of 20 B&Bs / Inns in Ha Tien,35,NA,NA,Very good,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g635529-d4131331-Reviews-Hai_Dang_Hotel-Ha_Tien_Kien_Giang_Province.html
"226 Ly Thuong Kiet Street, Ward 6, Ca Mau Vietnam",NA,NA,NA,Vietnamese,,Huynh Nhu Hotel,Ca Mau Province,Vietnam,"Vietnam,Mekong Delta,Ca Mau Province","Which popular attractions are close to Huynh Nhu Hotel?, ,What are some of the property amenities at Huynh Nhu Hotel?, ,Which room amenities are available at Huynh Nhu Hotel?, ,Is parking available at Huynh Nhu Hotel?, ,What are some restaurants close to Huynh Nhu Hotel?, ,Is Huynh Nhu Hotel located near the city center?, ",NA,3,#6 of 15 hotels in Ca Mau,30,NA,NA,Average,44,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g1568668-d12287395-Reviews-Huynh_Nhu_Hotel-Ca_Mau_Ca_Mau_Province_Mekong_Delta.html
"Nui D Dn Street Quarter 3, Phao Dai Ward, Ha Tien 9500 Vietnam",NA,NA,NA,"English, Vietnamese",,Nui Den Ha Tien Resort,Ha Tien,Vietnam,"Vietnam,Kien Giang Province,Ha Tien","Which popular attractions are close to Nui Den Ha Tien Resort?, ,What are some of the property amenities at Nui Den Ha Tien Resort?, ,Which room amenities are available at Nui Den Ha Tien Resort?, ,What food & drink options are available at Nui Den Ha Tien Resort?, ,Is parking available at Nui Den Ha Tien Resort?, ,What are some restaurants close to Nui Den Ha Tien Resort?, ,Are there opportunities to exercise at Nui Den Ha Tien Resort?, ,Are any cleaning services offered at Nui Den Ha Tien Resort?, ,Are pets allowed at Nui Den Ha Tien Resort?, ,Which languages are spoken by the staff at Nui Den Ha Tien Resort?, ",NA,3,#12 of 20 B&Bs / Inns in Ha Tien,15,NA,NA,Poor,22,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g635529-d3191066-Reviews-Nui_Den_Ha_Tien_Resort-Ha_Tien_Kien_Giang_Province.html
"Block 3, Phao Dai Ward, Ha Tien Vietnam",6,37,30,,,Doi Nai Vang Resort,Ha Tien,Vietnam,"Vietnam,Kien Giang Province,Ha Tien","Which popular attractions are close to Doi Nai Vang Resort?, ,What are some of the property amenities at Doi Nai Vang Resort?, ,What food & drink options are available at Doi Nai Vang Resort?, ,Is parking available at Doi Nai Vang Resort?, ,What are some restaurants close to Doi Nai Vang Resort?, ,Are there opportunities to exercise at Doi Nai Vang Resort?, ,Does Doi Nai Vang Resort have an airport shuttle?, ,Is Doi Nai Vang Resort located near the city center?, ,Are any cleaning services offered at Doi Nai Vang Resort?, ,Are pets allowed at Doi Nai Vang Resort?, ",15,1,#9 of 20 Specialty lodging in Ha Tien,10,NA,7,Terrible,12,NA,,3,https://www.tripadvisor.com/Hotel_Review-g635529-d9795617-Reviews-Doi_Nai_Vang_Resort-Ha_Tien_Kien_Giang_Province.html
"80 - 81 Hai Thuong, Ward 5, Dalat, Vietnam, Da Lat Vietnam",21,90,29,"English, Chinese, Korean, Vietnamese",,Tulip Xanh Dalat Hotel,$18,$11,"$11, - ,$18","Which popular attractions are close to Tulip Xanh Dalat Hotel?, ,What are some of the property amenities at Tulip Xanh Dalat Hotel?, ,What food & drink options are available at Tulip Xanh Dalat Hotel?, ,Is parking available at Tulip Xanh Dalat Hotel?, ,What are some restaurants close to Tulip Xanh Dalat Hotel?, ,Does Tulip Xanh Dalat Hotel have airport transportation?, ,Is Tulip Xanh Dalat Hotel located near the city center?, ,Are pets allowed at Tulip Xanh Dalat Hotel?, ,Which languages are spoken by the staff at Tulip Xanh Dalat Hotel?, ,Are there any historical sites close to Tulip Xanh Dalat Hotel?, ",16,127,#18 of 799 B&Bs / Inns in Da Lat,40,10,85,Very good,20,"Budget,Family",,4,https://www.tripadvisor.com/Hotel_Review-g293922-d4871907-Reviews-Tulip_Xanh_Dalat_Hotel-Da_Lat_Lam_Dong_Province.html
NA,NA,NA,NA,,,Nha Nghi Kim Thoa,Long Hai,Vietnam,"Vietnam,Ba Ria-Vung Tau Province,Long Hai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g635528-d15608048-Reviews-Nha_Nghi_Kim_Thoa-Long_Hai_Ba_Ria_Vung_Tau_Province.html
"Lot 2 Tran Hau, Binh San Ward, Ha Tien Vietnam",6,43,NA,,,Anh Van Hotel,Ha Tien,Vietnam,"Vietnam,Kien Giang Province,Ha Tien","Which popular attractions are close to Anh Van Hotel?, ,What are some restaurants close to Anh Van Hotel?, ,Is Anh Van Hotel located near the city center?, ",NA,3,#9 of 20 B&Bs / Inns in Ha Tien,35,NA,7,Very good,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g635529-d7226981-Reviews-Anh_Van_Hotel-Ha_Tien_Kien_Giang_Province.html
"59-61-63-65 Pham Ngoc Thach, Can Tho 92000 Vietnam",1,63,49,,,Holiday One Can Tho Hotel,$60,$30,"$30, - ,$60","Which popular attractions are close to Holiday One Can Tho Hotel?, ,What are some of the property amenities at Holiday One Can Tho Hotel?, ,Which room amenities are available at Holiday One Can Tho Hotel?, ,What food & drink options are available at Holiday One Can Tho Hotel?, ,What are some restaurants close to Holiday One Can Tho Hotel?, ,Are there opportunities to exercise at Holiday One Can Tho Hotel?, ,Does Holiday One Can Tho Hotel have airport transportation?, ,Is Holiday One Can Tho Hotel located near the city center?, ,Are any cleaning services offered at Holiday One Can Tho Hotel?, ,Are there any historical sites close to Holiday One Can Tho Hotel?, ",5,127,#26 of 146 hotels in Can Tho,35,40,16,Very good,82,NA,,2,https://www.tripadvisor.com/Hotel_Review-g303942-d6200440-Reviews-Holiday_One_Can_Tho_Hotel-Can_Tho_Mekong_Delta.html
"49, Street 36, Hai Tan, Long Hai Vietnam",NA,NA,NA,"English, Vietnamese",,Dai Duong Hotel,Long Hai,Vietnam,"Vietnam,Ba Ria-Vung Tau Province,Long Hai","Which popular attractions are close to Dai Duong Hotel?, ,What are some of the property amenities at Dai Duong Hotel?, ,Is parking available at Dai Duong Hotel?, ,What are some restaurants close to Dai Duong Hotel?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g635528-d10445590-Reviews-Dai_Duong_Hotel-Long_Hai_Ba_Ria_Vung_Tau_Province.html
"To 21, Ap Hai Tan, Long Hai Vietnam",NA,NA,NA,,,Nha Nghi Tu Tai Va Quan An Cac Mon De,Long Hai,Vietnam,"Vietnam,Ba Ria-Vung Tau Province,Long Hai","Which popular attractions are close to Nha Nghi Tu Tai Va Quan An Cac Mon De?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g635528-d21372778-Reviews-Nha_Nghi_Tu_Tai_Va_Quan_An_Cac_Mon_De-Long_Hai_Ba_Ria_Vung_Tau_Province.html
"24 Quan Su Str Hoan Kiem Dist, Hanoi 10000 Vietnam",125,100,19,,,Sunrise Hotel - 9 Hang Mam,$76,$71,"$71, - ,$76","Which popular attractions are close to Sunrise Hotel - 9 Hang Mam?, ,What are some of the property amenities at Sunrise Hotel - 9 Hang Mam?, ,What food & drink options are available at Sunrise Hotel - 9 Hang Mam?, ,Is parking available at Sunrise Hotel - 9 Hang Mam?, ,What are some restaurants close to Sunrise Hotel - 9 Hang Mam?, ,Does Sunrise Hotel - 9 Hang Mam have an airport shuttle?, ,Is Sunrise Hotel - 9 Hang Mam located near the city center?, ,Does Sunrise Hotel - 9 Hang Mam offer any business services?, ,Are there any historical sites close to Sunrise Hotel - 9 Hang Mam?, ",18,127,"#122 of 1,177 Specialty lodging in Hanoi",40,30,411,Very good,40,NA,,1,https://www.tripadvisor.com/Hotel_Review-g293924-d661518-Reviews-Sunrise_Hotel_9_Hang_Mam-Hanoi.html
"Palace Zone, Long Dien, Long Hai Vietnam",NA,NA,NA,,,Anh Dao Motel,Long Hai,Vietnam,"Vietnam,Ba Ria-Vung Tau Province,Long Hai","Which popular attractions are close to Anh Dao Motel?, ,What are some restaurants close to Anh Dao Motel?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g635528-d10441069-Reviews-Anh_Dao_Motel-Long_Hai_Ba_Ria_Vung_Tau_Province.html
NA,NA,NA,NA,,,Hoa,Long Hai,Vietnam,"Vietnam,Ba Ria-Vung Tau Province,Long Hai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g635528-d23363832-Reviews-Hoa-Long_Hai_Ba_Ria_Vung_Tau_Province.html
"Duong 36 43/163 o4 Hai Tan, Long Hai Vietnam",NA,NA,NA,,,Nhat Tan Guesthouse,Long Hai,Vietnam,"Vietnam,Ba Ria-Vung Tau Province,Long Hai","Which popular attractions are close to Nhat Tan Guesthouse?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g635528-d13965705-Reviews-Nhat_Tan_Guesthouse-Long_Hai_Ba_Ria_Vung_Tau_Province.html
"Vo Thi Sau, Long Hai Vietnam",NA,NA,NA,,,Sy Hanh Motel,Long Hai,Vietnam,"Vietnam,Ba Ria-Vung Tau Province,Long Hai","Which popular attractions are close to Sy Hanh Motel?, ",NA,NA,NA,NA,NA,NA,NA,8,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g635528-d12842628-Reviews-Sy_Hanh_Motel-Long_Hai_Ba_Ria_Vung_Tau_Province.html
"Phuoc Tinh Commune, Long Dien District, Long Hai Vietnam",NA,NA,NA,"English, Chinese, Vietnamese",,Kim Quang Apartment,Long Hai,Vietnam,"Vietnam,Ba Ria-Vung Tau Province,Long Hai","Which popular attractions are close to Kim Quang Apartment?, ,What are some of the property amenities at Kim Quang Apartment?, ,Which room amenities are available at Kim Quang Apartment?, ,What food & drink options are available at Kim Quang Apartment?, ,Is parking available at Kim Quang Apartment?, ,What are some restaurants close to Kim Quang Apartment?, ,Are there opportunities to exercise at Kim Quang Apartment?, ,Does Kim Quang Apartment have airport transportation?, ,Are pets allowed at Kim Quang Apartment?, ,Which languages are spoken by the staff at Kim Quang Apartment?, ",NA,1,#8 of 26 Specialty lodging in Long Hai,30,NA,NA,Average,4,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g635528-d11644648-Reviews-Kim_Quang_Apartment-Long_Hai_Ba_Ria_Vung_Tau_Province.html
"18/8 Khu Pho Hai Trung Hai Son, Long Hai Vietnam",NA,NA,NA,,,Yen Motel,Long Hai,Vietnam,"Vietnam,Ba Ria-Vung Tau Province,Long Hai","Which popular attractions are close to Yen Motel?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g635528-d13956348-Reviews-Yen_Motel-Long_Hai_Ba_Ria_Vung_Tau_Province.html
"Nguyen Tat Thanh, Long Hai Vietnam",NA,NA,NA,Vietnamese,,Sinh Doi Motel,Long Hai,Vietnam,"Vietnam,Ba Ria-Vung Tau Province,Long Hai","Which popular attractions are close to Sinh Doi Motel?, ,Which room amenities are available at Sinh Doi Motel?, ,What are some restaurants close to Sinh Doi Motel?, ",NA,NA,NA,NA,NA,NA,NA,12,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g635528-d12843067-Reviews-Sinh_Doi_Motel-Long_Hai_Ba_Ria_Vung_Tau_Province.html
NA,NA,NA,NA,,,A Chu Homestay,Son La,Vietnam,"Vietnam,Son La Province,Son La",NA,NA,4,#1 of 20 Specialty lodging in Son La,50,NA,NA,Excellent,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g1490567-d13743154-Reviews-A_Chu_Homestay-Son_La_Son_La_Province.html
"408 Tran Dang Ninh, Son La 27000 Vietnam",NA,NA,NA,,,Nam La Hotel,Son La,Vietnam,"Vietnam,Son La Province,Son La","Which popular attractions are close to Nam La Hotel?, ",NA,1,#4 of 15 hotels in Son La,40,NA,NA,Very good,40,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g1490567-d7161279-Reviews-Nam_La_Hotel-Son_La_Son_La_Province.html
"165 Tran Dang Ninh Street, Son La Vietnam",NA,NA,NA,Vietnamese,,Hoang Anh Hotel,Son La,Vietnam,"Vietnam,Son La Province,Son La","Which popular attractions are close to Hoang Anh Hotel?, ,What are some of the property amenities at Hoang Anh Hotel?, ,Which room amenities are available at Hoang Anh Hotel?, ,Is parking available at Hoang Anh Hotel?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g1490567-d12545308-Reviews-Hoang_Anh_Hotel-Son_La_Son_La_Province.html
"02 KDT Lam Son, Group 12, Chieng Le Ward, Son La 360000 Vietnam",NA,NA,NA,,,Cosy hotel,Son La,Vietnam,"Vietnam,Son La Province,Son La","Which popular attractions are close to Cosy hotel?, ,What are some of the property amenities at Cosy hotel?, ,Is parking available at Cosy hotel?, ,What are some restaurants close to Cosy hotel?, ",NA,1,#3 of 20 Specialty lodging in Son La,40,NA,NA,Very good,4,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g1490567-d17376186-Reviews-Cosy_hotel-Son_La_Son_La_Province.html
"Xom 5 Tieu Khu 32 Thi Tran Nong Truong, Moc Chau, Son La 362830 Vietnam",NA,NA,NA,,,Lavallee Bungalow,Son La,Vietnam,"Vietnam,Son La Province,Son La","Which popular attractions are close to Lavallee Bungalow?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g1490567-d15780824-Reviews-Lavallee_Bungalow-Son_La_Son_La_Province.html
"Cu Lac, Son Trach, Phong Nha-Ke Bang National Park Vietnam",NA,NA,189,"English, Vietnamese",,Sy's Homestay,$22,$16,"$16, - ,$22","Which popular attractions are close to Sy's Homestay?, ,What are some of the property amenities at Sy's Homestay?, ,Which room amenities are available at Sy's Homestay?, ,What food & drink options are available at Sy's Homestay?, ,Is parking available at Sy's Homestay?, ,What are some restaurants close to Sy's Homestay?, ,Are there opportunities to exercise at Sy's Homestay?, ,Does Sy's Homestay have airport transportation?, ,Are any cleaning services offered at Sy's Homestay?, ,Are pets allowed at Sy's Homestay?, ,Which languages are spoken by the staff at Sy's Homestay?, ",69,128,#5 of 32 Specialty lodging in Phong Nha-Ke Bang National Park,50,NA,NA,Excellent,8,"Great View,Mountain View",,21,https://www.tripadvisor.com/Hotel_Review-g4014591-d10514141-Reviews-Sy_s_Homestay-Phong_Nha_Ke_Bang_National_Park_Quang_Binh_Province.html
"D_i di_n Phong kham da khoa Hoang Tu, Th_ tr_n Nong Tru_ng M_c Chau, huy_n M_c Chau Sau lung T_p hoa Phuong Hi_p, Son La Vietnam",NA,NA,NA,,,Tada House Moc Chau,Son La,Vietnam,"Vietnam,Son La Province,Son La","Which popular attractions are close to Tada House Moc Chau?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g1490567-d23406492-Reviews-Tada_House_Moc_Chau-Son_La_Son_La_Province.html
"Moc Chau TK 32, Son La Vietnam",NA,NA,NA,,,Viet Hoang,Son La,Vietnam,"Vietnam,Son La Province,Son La","Which popular attractions are close to Viet Hoang?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g1490567-d13838975-Reviews-Viet_Hoang-Son_La_Son_La_Province.html
"Hua T_t, M_c Chau District, Son La Vietnam",NA,NA,NA,,,The Nordic Village,Son La,Vietnam,"Vietnam,Son La Province,Son La","Which popular attractions are close to The Nordic Village?, ,What are some of the property amenities at The Nordic Village?, ,What food & drink options are available at The Nordic Village?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g1490567-d21391017-Reviews-The_Nordic_Village-Son_La_Son_La_Province.html
"Nguyen Hoai Xuan Hamlet 6, Son La 360000 Vietnam",NA,NA,NA,,,Gau Smile,Son La,Vietnam,"Vietnam,Son La Province,Son La","Which popular attractions are close to Gau Smile?, ,Is parking available at Gau Smile?, ,What are some restaurants close to Gau Smile?, ",NA,NA,NA,NA,NA,NA,NA,7,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g1490567-d15130228-Reviews-Gau_Smile-Son_La_Son_La_Province.html
"Tong Van Suong, Hoi An 56000 Vietnam",1,64,40,,,Lila Hoi An Homestay,$21,$15,"$15, - ,$21","Which popular attractions are close to Lila Hoi An Homestay?, ,What are some of the property amenities at Lila Hoi An Homestay?, ,What food & drink options are available at Lila Hoi An Homestay?, ,Is parking available at Lila Hoi An Homestay?, ,What are some restaurants close to Lila Hoi An Homestay?, ,Does Lila Hoi An Homestay have an airport shuttle?, ,Does Lila Hoi An Homestay have airport transportation?, ,Are there any historical sites close to Lila Hoi An Homestay?, ",17,128,#31 of 399 Specialty lodging in Hoi An,50,20,10,Excellent,3,Budget,,1,https://www.tripadvisor.com/Hotel_Review-g298082-d5513091-Reviews-Lila_Hoi_An_Homestay-Hoi_An_Quang_Nam_Province.html
NA,NA,NA,NA,,,Khach San Phuong Dong,Son La,Vietnam,"Vietnam,Son La Province,Son La",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g1490567-d23519864-Reviews-Khach_San_Phuong_Dong-Son_La_Son_La_Province.html
NA,NA,NA,NA,,,Y Xoa Home Stay,Son La,Vietnam,"Vietnam,Son La Province,Son La",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g1490567-d21365363-Reviews-Y_Xoa_Home_Stay-Son_La_Son_La_Province.html
"146 To Hieu, Son La 34000 Vietnam",NA,NA,NA,,,Viet Long Guesthouse,Son La,Vietnam,"Vietnam,Son La Province,Son La","Which popular attractions are close to Viet Long Guesthouse?, ,What are some restaurants close to Viet Long Guesthouse?, ",NA,NA,NA,NA,NA,NA,NA,10,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g1490567-d21294555-Reviews-Viet_Long_Guesthouse-Son_La_Son_La_Province.html
"Hong Van Beach, Dao Co To Vietnam",NA,NA,NA,,,Maldives Resort Co To,Dao Co To,Vietnam,"Vietnam,Quang Ninh Province,Dao Co To",NA,NA,1,#3 of 23 Specialty lodging in Dao Co To,50,NA,NA,Excellent,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g12844967-d12843297-Reviews-Maldives_Resort_Co_To-Dao_Co_To_Quang_Ninh_Province.html
"Khu 4, Thị Tran Co To, Dao Co To Vietnam",NA,NA,NA,,,Nha Khach Doan Hai Dao,Dao Co To,Vietnam,"Vietnam,Quang Ninh Province,Dao Co To",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g15292527-d21303899-Reviews-Nha_Khach_Doan_Hai_Dao-Th_Tran_Co_To_Dao_Co_To_Quang_Ninh_Province.html
"Trung Tam Thi Tran Co to Gan Bai Tam Tinh Yeu, Dao Co To Vietnam",NA,NA,NA,,,Sao 555 Hotel,Dao Co To,Vietnam,"Vietnam,Quang Ninh Province,Dao Co To","Which popular attractions are close to Sao 555 Hotel?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g12844967-d21370742-Reviews-Sao_555_Hotel-Dao_Co_To_Quang_Ninh_Province.html
NA,NA,NA,NA,,,Khach San Phuong Dong,Son La,Vietnam,"Vietnam,Son La Province,Son La",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g1490567-d23521074-Reviews-Khach_San_Phuong_Dong-Son_La_Son_La_Province.html
"Hai Tien, Dong Tien Village, Dao Co To 200000 Vietnam",NA,NA,22,,,Coto Center Homestay,Dao Co To,Vietnam,"Vietnam,Quang Ninh Province,Dao Co To","Which popular attractions are close to Coto Center Homestay?, ,What are some of the property amenities at Coto Center Homestay?, ,What food & drink options are available at Coto Center Homestay?, ,Is parking available at Coto Center Homestay?, ,Does Coto Center Homestay have an airport shuttle?, ,Is Coto Center Homestay located near the city center?, ,Are pets allowed at Coto Center Homestay?, ",2,3,#2 of 23 Specialty lodging in Dao Co To,50,25,NA,Excellent,6,NA,,1,https://www.tripadvisor.com/Hotel_Review-g12844967-d13292899-Reviews-Coto_Center_Homestay-Dao_Co_To_Quang_Ninh_Province.html
NA,NA,NA,NA,,,Thuan Hue Hotel,Dao Co To,Vietnam,"Vietnam,Quang Ninh Province,Dao Co To",NA,NA,1,#1 of 4 B&Bs / Inns in Thị Tran Co To,40,NA,NA,Very good,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g15292527-d19649590-Reviews-Thuan_Hue_Hotel-Th_Tran_Co_To_Dao_Co_To_Quang_Ninh_Province.html
NA,NA,NA,NA,,,Khach San Chau Khanh,Dao Co To,Vietnam,"Vietnam,Quang Ninh Province,Dao Co To",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g12844967-d19913986-Reviews-Khach_San_Chau_Khanh-Dao_Co_To_Quang_Ninh_Province.html
